TID,VAR,TRP,VAL,TRF,GRD
DC180414662,TC,RG,1,R,
DC180414662,TC,RM,1,R,
DC180414662,TC,RS,1,R,
DC180414663,TC,R,0,R,1.0
DC180414663,TC,RG,0,R,
DC180414663,TC,RM,0,R,
DC180414663,TC,RS,0,R,
DC180414664,TC,R,0,R,
DC180414664,TC,RG,0,R,
DC180414664,TC,RM,0,R,
DC180414664,TC,RS,0,R,
DC185212251,TC,R,1,RS,
DC185212251,TC,RG,1,RS,
DC185212251,TC,RM,1,RS,
DC185212251,TC,RS,1,RS,0.0
DC185212252,TC,R,0,RS,
DC185212252,TC,RG,0,RS,
DC185212252,TC,RM,0,RS,
DC185212252,TC,RS,0,RS,
DC188014451,TC,R,0,R,1.0
DC188014451,TC,RG,0,R,
DC188014451,TC,RM,0,R,
DC188014451,TC,RS,0,R,
DC188014452,TC,R,0,R,1.0
DC188014452,TC,RG,0,R,
DC188014452,TC,RM,0,R,
DC188014452,TC,RS,0,R,
DC188014453,TC,R,1,R,0.0
DC188014453,TC,RG,1,R,
DC188014453,TC,RM,1,R,
DC188014453,TC,RS,1,R,
DC188014454,TC,R,0,R,
DC188014454,TC,RG,0,R,
DC188014454,TC,RM,0,R,
DC188014454,TC,RS,0,R,
DC188210201,TC,R,0,R,0.0
DC188210201,TC,RG,0,R,
DC188210201,TC,RM,0,R,
DC188210201,TC,RS,0,R,
DC188210202,TC,R,0,RS,
DC188210202,TC,RG,0,RS,
DC188210202,TC,RM,0,RS,
DC188210202,TC,RS,0,RS,1.0
DC188210203,TC,R,0,RS,
DC188210203,TC,RG,0,RS,
DC188210203,TC,RM,0,RS,
DC188210203,TC,RS,0,RS,
DC188610811,TC,R,1,RS,
DC188610811,TC,RG,1,RS,
DC188610811,TC,RM,1,RS,
DC188610811,TC,RS,1,RS,1.0
DC188610812,TC,R,0,RS,
DC188610812,TC,RG,0,RS,
DC188610812,TC,RM,0,RS,
DC188610812,TC,RS,0,RS,
DC188611391,TC,R,0,R,0.0
DC188611391,TC,RG,0,R,
DC188611391,TC,RM,0,R,
DC188611391,TC,RS,0,R,
DC188611392,TC,R,0,RG,
DC188611392,TC,RG,0,RG,0.0
DC188611392,TC,RM,0,RG,
DC188611392,TC,RS,0,RG,
DC188611393,TC,R,0,RG,
DC188611393,TC,RG,0,RG,
DC188611393,TC,RM,0,RG,
DC188611393,TC,RS,0,RG,
DC191713251,TC,R,0,R,1.0
DC191713251,TC,RG,0,R,
DC191713251,TC,RM,0,R,
DC191713251,TC,RS,0,R,
DC191713252,TC,R,0,R,0.0
DC191713252,TC,RG,0,R,
DC191713252,TC,RM,0,R,
DC191713252,TC,RS,0,R,
DC191713253,TC,R,0,R,0.0
DC191713253,TC,RG,0,R,
DC191713253,TC,RM,0,R,
DC191713253,TC,RS,0,R,
DC191713254,TC,R,1,R,
DC191713254,TC,RG,1,R,
DC191713254,TC,RM,1,R,
DC191713254,TC,RS,1,R,
DC191911031,TC,R,0,R,0.0
DC191911031,TC,RG,0,R,
DC191911031,TC,RM,0,R,
DC191911031,TC,RS,0,R,
DC191911032,TC,R,1,RG,
DC191911032,TC,RG,1,RG,
DC191911032,TC,RM,1,RG,
DC191911032,TC,RS,1,RG,
DC192211851,TC,R,1,R,0.0
DC192211851,TC,RG,1,R,
DC192211851,TC,RM,1,R,
DC192211851,TC,RS,1,R,
DC192211852,TC,R,1,RM,
DC192211852,TC,RG,1,RM,
DC192211852,TC,RM,1,RM,
DC192211852,TC,RS,1,RM,
DC192610091,TC,R,1,R,0.0
DC192610091,TC,RG,1,R,
DC192610091,TC,RM,1,R,
DC192610091,TC,RS,1,R,
DC192610092,TC,R,0,RS,
DC192610092,TC,RG,0,RS,
DC192610092,TC,RM,0,RS,
DC192610092,TC,RS,0,RS,
DC192813641,TC,R,0,R,0.0
DC192813641,TC,RG,0,R,
DC192813641,TC,RM,0,R,
DC192813641,TC,RS,0,R,
DC192813642,TC,R,1,R,0.0
DC192813642,TC,RG,1,R,
DC192813642,TC,RM,1,R,
DC192813642,TC,RS,1,R,
DC192813643,TC,R,0,R,0.0
DC192813643,TC,RG,0,R,
DC192813643,TC,RM,0,R,
DC192813643,TC,RS,0,R,
DC192813644,TC,R,1,R,
DC192813644,TC,RG,1,R,
DC192813644,TC,RM,1,R,
DC192813644,TC,RS,1,R,
DC193510731,TC,R,1,R,0.0
DC193510731,TC,RG,1,R,
DC193510731,TC,RM,1,R,
DC193510731,TC,RS,1,R,
DC193510732,TC,R,0,RS,
DC193510732,TC,RG,0,RS,
DC193510732,TC,RM,0,RS,
DC193510732,TC,RS,0,RS,
DC193812741,TC,R,0,RM,
DC193812741,TC,RG,0,RM,
DC193812741,TC,RM,0,RM,1.0
DC193812741,TC,RS,0,RM,
DC193812742,TC,R,1,RM,
DC193812742,TC,RG,1,RM,
DC193812742,TC,RM,1,RM,0.0
DC193812742,TC,RS,1,RM,
DC193812743,TC,R,1,RM,
DC193812743,TC,RG,1,RM,
DC193812743,TC,RM,1,RM,1.0
